"","siteid","sitename","LandUnitDetail","latitudedd","longitudedd","ElevationMeters","PrimaryType","SecondaryType","surveyid","surveydate","surveyors","surveyprotocol","ExtentOfData","seapscore_id","AC_culturalSignificance","FHI_humanImpactRiskScore","meanConditionScore"
"220",421,"Upper Buck Spring High","Coconino NF, Mogollon Rim RD",34.42189,-111.14828,2348,"hillslope",NA,1259994597,"9/12/2009","Jeri Ledbetter, Eric North, Valerie Hallam, Christina Davis, Julaire Scott","Stevens et al. Level 2",10,71,6,2.75,2.97917
"221",427,"Hidden Spring","Coconino NF, Mogollon Rim RD",34.43917,-111.18326,2309,"hillslope","rheocrene",-910058349,"10/10/2009","Larry Stevens, Jeri Ledbetter, Phoebe Stevens, Rosemary, FALA students","Stevens et al. Level 2",10,79,6,2,4.02917
"222",898,"Bear Paw Spring","Coconino NF, Peaks RD",35.34215,-111.65969,3038,NA,NA,-1559757009,"9/27/2013","Larry Stevens","Stevens et al. Level 1",2,1072,6,3.5,1.5875
"223",1019,"Little Elden Spring","Coconino NF, Peaks RD",35.27691,-111.57934,2190,"hillslope","limnocrene",2146244287,"5/19/2016","SSI Staff and Workshop Participants","Stevens et al. Level 1",8,1450,6,2.4,4.2
"224",416,"Cliffside Springs","Coconino NF, Mogollon Rim RD",34.43658,-111.18538,2307,"hillslope",NA,1255471979,"9/13/2009","Valerie Hallam, Jeri Ledbetter, Eric North, Christina Davis","Stevens et al. Level 2",9,66,6,1.42857,3.6045
"225",425,"Moonshine Spring","Coconino NF, Mogollon Rim RD",34.47765,-111.14077,2206,"helocrene",NA,1260756476,"9/19/2009","Jeri Ledbetter, Eric North, RJ Johnson, Karissa Ramstead, Valerie Hallam, Denise Hudson","Stevens et al. Level 2",8,72,6,2,3.16415
"226",392,"Dane Spring","Coconino NF, Mogollon Rim RD",34.4671,-111.14948,2178,"hillslope","anthropogenic",1247294598,"7/7/2009","Jeri Ledbetter, Aryn LaBrake, and Virginia Igoe","Stevens et al. Level 2",8,74,6,3,3.22407
"227",424,"Morningcloak Springs","Coconino NF, Mogollon Rim RD",34.43431,-111.16117,2314,"hillslope",NA,-1954228068,"9/20/2009","Jeri Ledbetter, Eric North, RJ Johnson, Denise Hudson","Stevens et al. Level 2",10,76,6,2,3.88981
"228",437,"Coyote Spring","Coconino NF, Mogollon Rim RD",34.44445,-111.15651,2283,"helocrene","hillslope",1258690002,"9/19/2009","Jeri Ledbetter, Eric North, RJ Johnson, Valerie Hallam, Denise Hudson, and Karissa Davis","Stevens et al. Level 2",9,77,6,2.5,3.86759
"229",607,"Typha Unnamed Spring","Kaibab NF, North Kaibab RD",36.65813,-112.56572,1408,"hillslope",NA,2048592160,"5/19/2011","Glenn Rink, Jeri Ledbetter, and Melissa Schaar","Stevens et al. Level 2",9,217,6,1.42857,4.3875
"230",439,"Royal Bull Springs","Coconino NF, Mogollon Rim RD",34.43286,-111.16082,2312,"hillslope",NA,1261928167,"9/20/2009","Jeri Ledbetter, Eric North, RJ Johnson, Denise Hudson","Stevens et al. Level 2",10,75,6,2.14286,4.00053
"231",432,"Lockwood Spring","Coconino NF, Mogollon Rim RD",34.54811,-111.1417,2098,"exposure",NA,1262010058,"9/18/2009","Jeri Ledbetter, Eric North, RJ Johnson, Valerie Hallam, Denise Hudson, Julaire Scott, Karissa Davis","Stevens et al. Level 2",9,78,6,2,4.59021
"232",428,"McClintock Spring","Coconino NF, Mogollon Rim RD",34.49003,-111.1532,2207,"hypocrene",NA,1262057998,"9/20/2009","Jeri Ledbetter, RJ Johnson, Eric North and Denise Hudson","Stevens et al. Level 2",10,80,6,2.875,3.0037
"233",312,"Quaking Aspen Spring","Kaibab NF, North Kaibab RD",36.37823,-112.28261,2398,"hillslope",NA,1298504657,"7/28/2010","G. Rink, Albano, Phillips, and Willard","Stevens/NPS 2000",8,157,6,2.71429,3.7422
"234",351,"Parissawampitts Spring","Kaibab NF, North Kaibab RD",36.41313,-112.31666,2366,"rheocrene","helocrene",903914113,"7/30/2010","C. Albano, G. Rink, K. Willard, and J. Spence","Stevens/NPS 2000",8,247,6,3.28571,2.82077
"235",310,"Sowats Spring","Kaibab NF, North Kaibab RD",36.52742,-112.45556,1835,"hillslope",NA,558,"7/1/2000","RJ Johnson, Nathan Zorich, and Zeke Lauck","Stevens/NPS 2000",10,299,6,0.57143,4.50265
"236",885,"63 Tank","Coconino NF, Mogollon Rim RD",34.68032,-111.29347,2135,"limnocrene",NA,1404517222,"8/7/2012","Kyle Paffett and Gerald Higa","Stevens et al. Level 2",4,781,6,2.14286,3.5
"237",422,"Upper Buck Spring","Coconino NF, Mogollon Rim RD",34.42603,-111.14771,2313,"hillslope",NA,1259902296,"9/13/2009","Jeri Ledbetter, Eric North, Valerie Hallam, Christina Davis","Stevens et al. Level 2",10,67,6,2.28571,3.04722
"238",393,"West Moonshine Spring","Coconino NF, Mogollon Rim RD",34.48278,-111.14449,2239,"hillslope","rheocrene",-1689402876,"9/19/2009","RJ Johnson, Eric North, Jeri Ledbetter, Valerie Hallam, Denise Hudson, Karissa Ramstead","Stevens et al. Level 2",9,81,6,2.28571,3.5619
"239",308,"Big Sowats Spring","Kaibab NF, North Kaibab RD",36.52332,-112.45528,1828,"hanging garden",NA,556,"7/1/2000","RJ Johnson, Nathan Zorich, and Zeke Lauck","Stevens/NPS 2000",9,114,6,0.14286,4.56323
"240",783,"McDermit Spring","Kaibab NF, Williams RD",35.26869,-111.91345,2200,"helocrene",NA,-1952595448,"8/30/2011","Larry Stevens and Jeri Ledbetter","Stevens et al. Level 2",10,230,6,3.875,2.70625
"241",309,"Sowats Veronica unnamed","Kaibab NF, North Kaibab RD",36.52485,-112.45552,1840,"hillslope",NA,557,"7/1/2000","RJ Johnson, Nathan Zorich, and Zeke Lauck","Stevens/NPS 2000",9,298,6,0,4.67037
"242",310,"Sowats Spring","Kaibab NF, North Kaibab RD",36.52742,-112.45556,1835,"hillslope",NA,-836967340,"6/14/2012","Larry Stevens, Glenn Rink, Jeri Ledbetter, Kyle Paffett, Ariel Leonard, Anya Fayfer, Kumi Isobe, and Dan Tayler","Stevens et al. Level 2",10,385,6,1.5,4.3125
"243",832,"Glenn Rink Spring","Kaibab NF, North Kaibab RD",36.39426,-112.08316,2560,"hillslope","rheocrene",-1590191419,"6/15/2012","Larry Stevens, Jeri Ledbetter, Glenn Rink, Ariel Leonard, Kyle Paffett, Dan Taylor, Kumi Isobe, and Anya Fayfer","Stevens et al. Level 2",10,386,6,1.5,5.16875
"244",17948,"Coconino Fracture","Kaibab NF, North Kaibab RD",36.39948,-112.08437,2499,"hanging garden",NA,-2132605255,"6/17/2012","Kyle Paffett, Larry Stevens, Jeri Ledbetter, Glenn Rink, Anya Fayfer, and Kumi Isobe","Stevens et al. Level 2",9,393,6,1,5.11667
"245",419,"Poverty Spring","Coconino NF, Mogollon Rim RD",34.48605,-111.3301,2189,"hillslope",NA,-1802687155,"9/11/2009","Jeri Ledbetter, Eric North, Valerie Hallum, Christina Davis, Julaire Scott","Stevens et al. Level 2",9,73,6,2.71429,1.8713
"246",331,"Crystal Spring","Kaibab NF, North Kaibab RD",36.38914,-112.09597,2682,"helocrene",NA,579,"6/27/2000","RJ Johnson, Larry Stevens, Margaret Erhart, and Nathan Zorich","Stevens/NPS 2000",8,120,6,3.25,3.735
"247",368,"Watts Spring","Kaibab NF, North Kaibab RD",36.37939,-112.27579,2442,"hillslope",NA,616,"6/29/2000","RJ Johnson, Larry Stevens, Margaret Erhart, and Nathan Zorich","Stevens/NPS 2000",10,129,6,3.125,2.92167
"248",283,"North Canyon Spring middle","Kaibab NF, North Kaibab RD",36.39754,-112.08419,2534,"hillslope",NA,631,"6/20/2001","Revisit; WQ, Discharge, and invertebrates","Stevens/NPS 2000",7,183,6,1.5,5.11667
"249",367,"Warm Springs","Kaibab NF, North Kaibab RD",36.69452,-112.31196,2109,"cave",NA,615,"7/3/2000","RJ Johnson, Nathan Zorich, and Zeke Lauck","Stevens/NPS 2000",8,300,6,3.375,2.73
